concept_id,title,type,block,summary,source_ids
c16,Ключ-как-сервис (KaaS),модель,landscape,"Переход от владения квантовой инфраструктурой к подписке на ключ/сервис; экономика «от инфраструктуры к приложениям».",s-quantum-infra;s-trends-ingos;s-ingos-transform
c17,Транзакция как поток данных,принцип,landscape,"Смена фокуса: от доставки ценности и управления каналами к непрерывности транзакционного процесса и работе с рисками; любой поток становится цифровым.",s-trends-ingos;s-ingos-transform;s-digital
c18,Экосистема экосистем,модель,ai-business,"Модель гиперигрока: совокупный охват «весь мир» + ИТ-инфраструктура + финансовое плечо = машина трансформации всех глобальных рынков (OpenAI, Сбер).",s-ingos-transform;s-frontier-21-01
c19,Ключевой переход,принцип,ai-business,"«Продукт — лишь входной билет в мир бренда/экосистемы»: сдвиг от продажи товара к управлению вниманием, сообществом и стандартом рынка.",s-digital;s-ingos-transform
c20,Интерактивный ИИ (IAI): уровни,схема,ai-business,"Два уровня: общение пользователя (ИИ как посредник приложение↔человек) и ядро общения приложений (агенты API↔API); делегирование решений, ответственность, безопасность.",s-digital;s-trends-ingos;s-ingos-transform
c21,Глоссарий ИИ (LAM/LLM/GAI/RARA/AIoT/RPA/IIoT),схема,ai-business,"Карта понятий: LLM/GAI (языковые/генеративные модели) → LAM (модели действий), RPA → RARA (автоматизация действий и результатов), IIoT → AIoT.",s-digital;s-trends-ingos;s-ingos-transform;s-frontier-21-01
c22,Правило трёх доменов,принцип,ai-business,"Для трансформации на уровень 3 компания комбинирует ≥3 домена: домашний рынок + транзитный домен → трансформируемый (третий) рынок. Компания меняет не свой рынок, а сторонний.",s-value-06-26;s-frontier-21-01
c23,Закон культурного дизрапта,принцип,ai-business,"На уровне 3 компания заявляет вызов существующему порядку (Loro Piana: тихая роскошь vs показная; Red Bull: экстрим vs традиционный спорт; Patagonia: активизм vs потребление).",s-frontier-21-01
c24,Три стратегии генерации добавленной стоимости,фреймворк,ai-business,"Инфраструктуризация · повышение уровня модели бизнеса · захват цепочки добавленной стоимости (переделы/экосистемы/домен).",s-value-06-26;s-ingos-transform
c25,Треугольник управления,модель,management,"Менеджер · финансист · эксперт — и структурный разрыв ответственности между ними; почему модель не держит фронтирные задачи.",s-mgmt-26-03;s-digital;s-trends-ingos
c26,Главный архитектор (конструктор),модель,management,"Полнота власти (задача + ресурс + решения) при симметричной ответственности за результат и вознаграждении по результату.",s-mgmt-26-03;s-digital;s-infra-30-10
c27,Новая ролевая модель,фреймворк,management,"Архитекторы · шоураннеры · продюсеры · имаджинарии · вдохновители; источники — спорт высоких достижений, кино/ТВ, искусство; валюты — внимание, соцкапитал, пассионарность, репутация.",s-digital;s-mgmt-26-03;s-infra-30-10
c28,Суперзадачи — суперкоманды — штаб,модель,management,"Суперзадача избыточна и неутилитарна (зона провалов рынка); штаб архитекторов ставит задачи, создаёт связи и собирает суперкоманды.",s-frontier-21-01;s-digital;s-frontier-emba
c29,Когерентные спутанные команды,модель,management,"«Участник — квант»: резонансное управление, этические принципы и вызовы держат команду вместо инструкций и корпоративной культуры.",s-frontier-21-01;s-frontier-emba
c30,Хард · Софт · Мета-навыки,фреймворк,management,"Тип навыков и знаний по укладам: специализация → мультидисциплинарность → меж-/трансдисциплинарность; капитализация специалиста: опыт → бренд → гудвилл.",s-frontier-21-01;s-frontier-emba;s-digital
c31,Powermap / карта гравитации,схема,management,"Карта власти, влияний и отношений; продвижение через среды и поводы, а не прямой поиск клиента.",s-digital;s-trends-ingos;s-mgmt-26-03
c32,Русские принципы управления,фреймворк,management,"Авось · аврал · чудо · с колёс · каша из топора — как приёмы работы с неопределённостью и дефицитом.",s-digital;s-mgmt-26-03
c33,Матрица укладов по отраслям,фреймворк,transition,"Таблица «отрасль × уклад» для тренировки насмотренности и постановки следующего хода компании/отрасли.",s-digital;s-value-06-26
c34,Уровни трансформации управления,фреймворк,transition,"Позиция → заявление → модель трансформации по укладам: производитель («мы производим X», меняем себя) → платформа («мы соединяем людей», меняем клиентов) → архитектор («мы создаём новый мир», меняем сторонние рынки).",s-frontier-21-01;s-frontier-emba
