topic_id,block,title,summary,key_concepts,source_ids
t17,ai-business,Вызовы и тренды ИИ в промышленности,"Барьеры внедрения ИИ в IoT и цифровую промышленность: мультимодальность, конфликт языков/протоколов LLM, отсутствие универсальной среды управления, комплаенс/интероперабельность. Тренды: RPA/RAA, AIoT, ИИ-интеграции, plug&play.",AIoT;IIoT;RPA-RAA;мультимодальные данные,s-digital;s-trends-ingos;s-infra-30-10
t18,ai-business,Интерактивный ИИ и агенты,"IAI — ИИ как посредник между приложением и человеком; агенты на уровне ядра общения приложений (API↔API). Понятия LAM, LLM, GAI, RARA, AIoT. Проблемы контроля, контекста и ответственности. Кейс Be More device.",IAI;LAM;агенты;делегирование решений,s-digital;s-trends-ingos;s-ingos-transform
t19,ai-business,Кейсы трансформации моделей бизнеса,"Разбор компаний по трём укладам и «ключевому переходу»: Red Bull, Сбер, Wildberries, Como 1907, OpenAI, Patagonia, GoPro, Banksy, OnlyFans, Loro Piana. Продукт как «входной билет» в экосистему.",ключевой переход;экосистема экосистем,s-ingos-transform;s-digital;s-value-06-26
t20,ai-business,Стратегии генерации добавленной стоимости,"Три стратегии: инфраструктуризация, повышение уровня модели бизнеса, захват цепочки добавленной стоимости (переделы/экосистемы/домен). Правило трёх доменов и закон культурного дизрапта.",стратегии генерации ДС;правило трёх доменов;культурный дизрапт,s-value-06-26;s-frontier-21-01;s-ingos-transform
t21,management,Проблема треугольника управления,"Классическая модель принятия решений «менеджер · финансист · эксперт» и её разрыв: эксперт не управляет и не отвечает, менеджер не видит замысла, финансист зарабатывает на другом. Почему на фронтире она не работает.",треугольник управления,s-mgmt-26-03;s-digital;s-trends-ingos
t22,management,Главный архитектор как модель управления,"Полнота власти у главного архитектора/конструктора: постановка задачи, распоряжение ресурсом, решения — и симметричная ответственность за результат. Главные конструкторы вместо предпринимателей; своевременность вместо эффективности.",главный архитектор;своевременность,s-mgmt-26-03;s-digital;s-infra-30-10
t23,management,Большие проекты и большие люди,"Советская модель суперпроектов (Королёв и Совет главных конструкторов — космос, Берия — атомный проект, Вернадский — КЕПС) и современные технократы (фон Браун, Оппенгеймер, Маск, Тиль). PayPal-мафия как сеть.",совет главных конструкторов;PayPal-мафия;суперпроекты,s-mgmt-26-03;s-digital;s-ingos-transform
t24,management,Новая ролевая модель,"Архитекторы, шоураннеры, продюсеры, имаджинарии, вдохновители. Источники моделей — спорт высоких достижений, кино/ТВ, искусство. Валюты и ресурсы: внимание, социальный капитал, пассионарность, репутация.",новая ролевая модель;валюты и ресурсы,s-digital;s-mgmt-26-03;s-infra-30-10
t25,management,Суперзадачи для суперкоманд,"Постинформационная суперзадача избыточна, неутилитарна, работает в зоне провалов рынка. Штаб/команда архитекторов ставит задачи, создаёт связи и ищет суперкоманды. Когерентные спутанные команды («участник — квант»).",суперзадачи-суперкоманды;когерентные команды;штаб,s-frontier-21-01;s-digital;s-frontier-emba
t26,management,Трансформация HR и навыков,"Хард-навыки → софт-навыки → мета-навыки. Специализация → мультидисциплинарность → меж-/трансдисциплинарность. HR: воронка резюме → HR-брендинг/EVP → talent mining и взращивание гениев, HR-шерпы.",мета-навыки;talent mining;EVP,s-frontier-21-01;s-frontier-emba;s-digital
t27,management,Русские принципы управления,"Авось (загоризонтное планирование, голубые океаны), аврал (концентрация в моменте), чудо (чёрные лебеди, использование случая), с колёс (решение без постановки), каша из топора (шедевр из доступного).",русские принципы управления,s-digital;s-mgmt-26-03
t28,management,Powermap и капитал отношений,"Карта власти и влияний: доверие и отношения важнее техники (продаж, сделки, качества). Капитализация опыта, репутации, социальных связей, общей энергетики и кооперации.",powermap;капитал отношений;гудвилл,s-digital;s-trends-ingos;s-mgmt-26-03
